Episode no = 10; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2022-04-28 08:52:27
Episode no = 20; won: False; Q(s,a) = nan; reward = -495.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2022-04-28 08:52:30
Episode no = 30; won: False; Q(s,a) = nan; reward = -440.0; and epsilon = 0.996, win percentage = 0.0, 2022-04-28 08:52:33
Episode no = 40; won: False; Q(s,a) = nan; reward = -463.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2022-04-28 08:52:36
Episode no = 50; won: False; Q(s,a) = nan; reward = -469.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2022-04-28 08:52:40
Episode no = 60; won: False; Q(s,a) = nan; reward = -447.0; and epsilon = 0.992, win percentage = 0.0, 2022-04-28 08:52:42
Episode no = 70; won: False; Q(s,a) = nan; reward = -490.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2022-04-28 08:52:44
Episode no = 80; won: False; Q(s,a) = nan; reward = -466.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2022-04-28 08:52:47
Episode no = 90; won: False; Q(s,a) = nan; reward = -492.0; and epsilon = 0.988, win percentage = 0.0, 2022-04-28 08:52:50
Episode no = 100; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2022-04-28 08:52:51
Episode no = 110; won: False; Q(s,a) = nan; reward = -475.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2022-04-28 08:52:54
Episode no = 120; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.984, win percentage = 0.0, 2022-04-28 08:52:57
Episode no = 130; won: False; Q(s,a) = -1.5907046591877572; reward = -393.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2022-04-28 08:53:00
Episode no = 140; won: False; Q(s,a) = 0.2214321750989175; reward = -452.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2022-04-28 08:53:04
Episode no = 150; won: False; Q(s,a) = nan; reward = -443.0; and epsilon = 0.98, win percentage = 0.0, 2022-04-28 08:53:06
Episode no = 160; won: False; Q(s,a) = 4.8886778896485374; reward = -476.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2022-04-28 08:53:08
Episode no = 170; won: False; Q(s,a) = 4.341402352433089; reward = -390.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2022-04-28 08:53:11
Episode no = 180; won: False; Q(s,a) = -0.41512282550718305; reward = -403.0; and epsilon = 0.976, win percentage = 0.0, 2022-04-28 08:53:14
Episode no = 190; won: False; Q(s,a) = 9.779621300220311; reward = -473.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2022-04-28 08:53:17
Episode no = 200; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2022-04-28 08:53:21
Episode no = 210; won: False; Q(s,a) = 20.23696658317139; reward = -486.0; and epsilon = 0.972, win percentage = 0.0, 2022-04-28 08:53:23
Episode no = 220; won: False; Q(s,a) = nan; reward = -466.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2022-04-28 08:53:26
Episode no = 230; won: False; Q(s,a) = nan; reward = -458.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2022-04-28 08:53:29
Episode no = 240; won: False; Q(s,a) = nan; reward = -484.0; and epsilon = 0.968, win percentage = 0.0, 2022-04-28 08:53:32
Episode no = 250; won: False; Q(s,a) = nan; reward = -452.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-04-28 08:53:36
Episode no = 260; won: False; Q(s,a) = 13.805840543750152; reward = -401.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-04-28 08:53:39
Episode no = 270; won: False; Q(s,a) = nan; reward = -476.0; and epsilon = 0.964, win percentage = 0.0, 2022-04-28 08:53:44
Episode no = 280; won: False; Q(s,a) = 4.955102723295945; reward = -458.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-04-28 08:53:46
Episode no = 290; won: False; Q(s,a) = 11.987092595440625; reward = -340.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-04-28 08:53:49
Episode no = 300; won: False; Q(s,a) = 18.827819986166663; reward = -491.0; and epsilon = 0.96, win percentage = 0.0, 2022-04-28 08:53:52
Episode no = 310; won: False; Q(s,a) = nan; reward = -458.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-04-28 08:53:55
Episode no = 320; won: False; Q(s,a) = nan; reward = -466.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-04-28 08:53:58
Episode no = 330; won: False; Q(s,a) = 11.626999660194285; reward = -511.0; and epsilon = 0.956, win percentage = 0.0, 2022-04-28 08:54:03
